node_id,sae_name,activity_threshold,subgraph_id,subgraph_size,feature_activations
0,resjb,0.0,0,1,49.0
1,resjb,0.0,1,1,0.0
2,resjb,0.0,2,1,64.0
3,resjb,0.0,3,1,54.0
4,resjb,0.0,4,1,43.0
5,resjb,0.0,5,1,53.0
6,resjb,0.0,6,1,0.0
7,resjb,0.0,7,1,24.0
8,resjb,0.0,8,4,26.0
16508,resjb,0.0,8,4,39.0
4309,resjb,0.0,8,4,26.0
1735,resjb,0.0,8,4,28.0
9,resjb,0.0,9,1,129.0
10,resjb,0.0,10,1,0.0
11,resjb,0.0,11,1,28.0
12,resjb,0.0,12,1,0.0
13,resjb,0.0,13,1,34.0
14,resjb,0.0,14,1,0.0
15,resjb,0.0,15,1,30.0
16,resjb,0.0,16,1,0.0
17,resjb,0.0,17,1,32.0
18,resjb,0.0,18,1,54.0
19,resjb,0.0,19,1,40.0
20,resjb,0.0,20,1,21.0
21,resjb,0.0,21,1,0.0
22,resjb,0.0,22,1,0.0
23,resjb,0.0,23,1,28.0
24,resjb,0.0,24,1,46.0
25,resjb,0.0,25,1,64.0
26,resjb,0.0,26,1,20.0
27,resjb,0.0,27,1,33.0
28,resjb,0.0,28,1,77.0
29,resjb,0.0,29,1,48.0
30,resjb,0.0,30,1,0.0
31,resjb,0.0,31,1,44.0
32,resjb,0.0,32,2,5.0
16674,resjb,0.0,32,2,4.0
33,resjb,0.0,33,1,0.0
34,resjb,0.0,34,1,44.0
35,resjb,0.0,35,1,19.0
36,resjb,0.0,36,1,22.0
37,resjb,0.0,37,1,35.0
38,resjb,0.0,38,1,57.0
39,resjb,0.0,39,1,43.0
40,resjb,0.0,40,1,22.0
41,resjb,0.0,41,1,15.0
42,resjb,0.0,42,1,4.0
43,resjb,0.0,43,1,142.0
44,resjb,0.0,44,1,0.0
45,resjb,0.0,45,1,26.0
46,resjb,0.0,46,1,0.0
47,resjb,0.0,47,1,0.0
48,resjb,0.0,48,1,14.0
49,resjb,0.0,49,1,66.0
50,resjb,0.0,50,1,37.0
51,resjb,0.0,51,1,0.0
52,resjb,0.0,52,1,28.0
53,resjb,0.0,53,1,34.0
7297,resjb,0.0,54,2,14.0
54,resjb,0.0,54,2,12.0
55,resjb,0.0,55,1,35.0
56,resjb,0.0,56,1,25.0
57,resjb,0.0,57,1,34.0
58,resjb,0.0,58,1,63.0
59,resjb,0.0,59,1,32.0
23362,resjb,0.0,60,12,40.0
22861,resjb,0.0,60,12,31.0
13038,resjb,0.0,60,12,41.0
16879,resjb,0.0,60,12,23.0
17329,resjb,0.0,60,12,46.0
9298,resjb,0.0,60,12,37.0
16118,resjb,0.0,60,12,44.0
13945,resjb,0.0,60,12,44.0
2075,resjb,0.0,60,12,46.0
60,resjb,0.0,60,12,41.0
4413,resjb,0.0,60,12,36.0
4543,resjb,0.0,60,12,30.0
61,resjb,0.0,61,1,33.0
62,resjb,0.0,62,1,83.0
63,resjb,0.0,63,1,19.0
64,resjb,0.0,64,1,24.0
65,resjb,0.0,65,1,50.0
66,resjb,0.0,66,1,0.0
67,resjb,0.0,67,1,71.0
68,resjb,0.0,68,1,0.0
69,resjb,0.0,69,1,38.0
70,resjb,0.0,70,1,0.0
71,resjb,0.0,71,1,22.0
72,resjb,0.0,72,1,19.0
73,resjb,0.0,73,1,15.0
74,resjb,0.0,74,1,194.0
75,resjb,0.0,75,1,36.0
76,resjb,0.0,76,1,0.0
77,resjb,0.0,77,1,34.0
78,resjb,0.0,78,1,41.0
79,resjb,0.0,79,1,24.0
16386,resjb,0.0,80,196,68.0
514,resjb,0.0,80,196,140.0
15875,resjb,0.0,80,196,80.0
2567,resjb,0.0,80,196,109.0
19975,resjb,0.0,80,196,50.0
17931,resjb,0.0,80,196,73.0
530,resjb,0.0,80,196,79.0
22043,resjb,0.0,80,196,72.0
6172,resjb,0.0,80,196,120.0
2081,resjb,0.0,80,196,56.0
18980,resjb,0.0,80,196,50.0
14886,resjb,0.0,80,196,104.0
20522,resjb,0.0,80,196,74.0
18986,resjb,0.0,80,196,64.0
9772,resjb,0.0,80,196,82.0
13359,resjb,0.0,80,196,47.0
23092,resjb,0.0,80,196,121.0
12854,resjb,0.0,80,196,71.0
1080,resjb,0.0,80,196,75.0
14394,resjb,0.0,80,196,46.0
